customer_id,customer_name,email,region
1,Customer_1,customer1@example.com,South
2,Customer_2,customer2@example.com,South
3,Customer_3,customer3@example.com,South
4,Customer_4,customer4@example.com,North
5,Customer_5,customer5@example.com,South
6,Customer_6,customer6@example.com,East
7,Customer_7,customer7@example.com,East
8,Customer_8,customer8@example.com,North
9,Customer_9,customer9@example.com,North
10,Customer_10,customer10@example.com,East
11,Customer_11,customer11@example.com,South
12,Customer_12,customer12@example.com,South
13,Customer_13,customer13@example.com,East
14,Customer_14,customer14@example.com,South
15,Customer_15,customer15@example.com,North
16,Customer_16,customer16@example.com,North
17,Customer_17,customer17@example.com,South
18,Customer_18,customer18@example.com,North
19,Customer_19,customer19@example.com,East
20,Customer_20,customer20@example.com,West
21,Customer_21,customer21@example.com,South
22,Customer_22,customer22@example.com,West
23,Customer_23,customer23@example.com,South
24,Customer_24,customer24@example.com,East
25,Customer_25,customer25@example.com,East
26,Customer_26,customer26@example.com,East
27,Customer_27,customer27@example.com,South
28,Customer_28,customer28@example.com,North
29,Customer_29,customer29@example.com,North
30,Customer_30,customer30@example.com,West
31,Customer_31,customer31@example.com,North
32,Customer_32,customer32@example.com,South
33,Customer_33,customer33@example.com,West
34,Customer_34,customer34@example.com,South
35,Customer_35,customer35@example.com,East
36,Customer_36,customer36@example.com,North
37,Customer_37,customer37@example.com,East
38,Customer_38,customer38@example.com,South
39,Customer_39,customer39@example.com,North
40,Customer_40,customer40@example.com,West
41,Customer_41,customer41@example.com,North
42,Customer_42,customer42@example.com,East
43,Customer_43,customer43@example.com,East
44,Customer_44,customer44@example.com,South
45,Customer_45,customer45@example.com,West
46,Customer_46,customer46@example.com,South
47,Customer_47,customer47@example.com,East
48,Customer_48,customer48@example.com,South
49,Customer_49,customer49@example.com,North
50,Customer_50,customer50@example.com,East
51,Customer_51,customer51@example.com,West
52,Customer_52,customer52@example.com,North
53,Customer_53,customer53@example.com,West
54,Customer_54,customer54@example.com,West
55,Customer_55,customer55@example.com,South
56,Customer_56,customer56@example.com,North
57,Customer_57,customer57@example.com,North
58,Customer_58,customer58@example.com,East
59,Customer_59,customer59@example.com,West
60,Customer_60,customer60@example.com,West
61,Customer_61,customer61@example.com,East
62,Customer_62,customer62@example.com,East
63,Customer_63,customer63@example.com,West
64,Customer_64,customer64@example.com,West
65,Customer_65,customer65@example.com,West
66,Customer_66,customer66@example.com,West
67,Customer_67,customer67@example.com,North
68,Customer_68,customer68@example.com,North
69,Customer_69,customer69@example.com,West
70,Customer_70,customer70@example.com,West
71,Customer_71,customer71@example.com,North
72,Customer_72,customer72@example.com,West
73,Customer_73,customer73@example.com,West
74,Customer_74,customer74@example.com,East
75,Customer_75,customer75@example.com,North
76,Customer_76,customer76@example.com,West
77,Customer_77,customer77@example.com,East
78,Customer_78,customer78@example.com,East
79,Customer_79,customer79@example.com,East
80,Customer_80,customer80@example.com,East
81,Customer_81,customer81@example.com,West
82,Customer_82,customer82@example.com,North
83,Customer_83,customer83@example.com,North
84,Customer_84,customer84@example.com,East
85,Customer_85,customer85@example.com,South
86,Customer_86,customer86@example.com,North
87,Customer_87,customer87@example.com,West
88,Customer_88,customer88@example.com,West
89,Customer_89,customer89@example.com,East
90,Customer_90,customer90@example.com,South
91,Customer_91,customer91@example.com,South
92,Customer_92,customer92@example.com,West
93,Customer_93,customer93@example.com,East
94,Customer_94,customer94@example.com,North
95,Customer_95,customer95@example.com,South
96,Customer_96,customer96@example.com,North
97,Customer_97,customer97@example.com,North
98,Customer_98,customer98@example.com,West
99,Customer_99,customer99@example.com,East
100,Customer_100,customer100@example.com,South
